Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
182, 1, LOC_CITY_NAME_AKSHAK, , CONTRACT 6327, SUBMITTED, NO_UNIT, BUILDING_SEWER, NO_DISTRICT, VALUE 119.0, Build City Building
182, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 6331, SUBMITTED, NO_UNIT, BUILDING_AIRPORT, NO_DISTRICT, VALUE 439.0, Build City Building
182, 1, LOC_CITY_NAME_SIPPAR, , CONTRACT 6333, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_ENCAMPMENT, VALUE 1054.0, Build City District
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 5699, CANCELLED, UNIT_CAVALRY, NO_BUILDING, NO_DISTRICT, VALUE 135.8, Unknown
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 5832, CANCELLED, UNIT_BOMBARD, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Unknown
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 5921, COMPLETED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 194.3, Simple Operation Attack
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 5974, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Unknown
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 6113, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 114.0, Unknown
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 6114, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 1.8, Build Trigger Building
182, 2, LOC_CITY_NAME_OSLO, , CONTRACT 6249, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Unknown
182, 2, LOC_CITY_NAME_OSLO, , , BUILDING_MILITARY_ACADEMY, Default Specialization, , , Value 481.9
182, 2, FAITH PURCHASE, , , UNIT_MISSIONARY, Unknown, CONTRACT 6293
182, 2, LOC_CITY_NAME_SKIEN, , CONTRACT 6343, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_COMMERCIAL_HUB, VALUE 637.0, Build City District
182, 2, LOC_CITY_NAME_KRISTIANSAND, , CONTRACT 6346, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_COMMERCIAL_HUB, VALUE 485.0, Build City District
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6071, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 841.0, Unknown
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6117, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 68.0, Unknown
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6159, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Siege City Assault
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6163, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6166, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 75.0, Unknown
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6196, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Siege City Assault
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6198, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Siege City Assault
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6261, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6263, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Unknown
182, 4, LOC_CITY_NAME_BRISTOL, , , DISTRICT_CAMPUS, Build City District, CONTRACT 6074
