Game Turn, Player, SpyId, Action, Status, Location
182, 2, 9961490, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
182, 4, 14811200, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
182, 4, 14811200, MOVE TO CITY(39 20), BEGIN, 32:16
182, 4, 14876684, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
182, 5, 20774991, MOVE TO CITY (ALREADY THERE), COMPLETE, 53:27
182, 5, 20709401, MOVE TO CITY(32 16), BEGIN, 53:27
182, 5, 20643915, MOVE TO CITY(32 16), BEGIN, 53:27
182, 6, 17563696, MOVE TO CITY(66 21), BEGIN, 25:20
182, 6, 17629237, MOVE TO CITY (ALREADY THERE), COMPLETE, 25:20
182, 6, 17694769, MOVE TO CITY (ALREADY THERE), COMPLETE, 25:20
182, 7, 12845120, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 17:13
182, 7, 12910662, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 18:13
183, 1, 14811175, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
183, 1, 14811175, MOVE TO CITY(37 10), BEGIN, 66:21
183, 2, 10158107, MOVE TO CITY(66 21), BEGIN, 22:10
183, 2, 9961490, MOVE TO CITY(66 21), BEGIN, 22:10
183, 2, 10092577, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
183, 2, 10092577, MOVE TO CITY(22 10), BEGIN, 66:21
183, 4, 15073312, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
183, 4, 14876684, MOVE TO CITY(32 16), BEGIN, 39:20
183, 4, 15007808, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
183, 4, 15007808, MOVE TO CITY(39 20), BEGIN, 32:16
183, 5, 20774991, MOVE TO CITY(32 16), BEGIN, 53:27
183, 5, 20971595, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
183, 5, 20971595, UNITOPERATION_SPY_GREAT_WORK_HEIST, BEGIN, 67:20
183, 5, 21037116, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
183, 5, 21037116, UNITOPERATION_SPY_GREAT_WORK_HEIST, BEGIN, 67:20
183, 6, 17629237, MOVE TO CITY(66 21), BEGIN, 25:20
183, 6, 17694769, MOVE TO CITY(66 21), BEGIN, 25:20
183, 7, 12845120, MOVE TO CITY(32 16), BEGIN, 17:13
184, 1, 14876711, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
184, 1, 14876711, MOVE TO CITY(37 10), BEGIN, 66:21
184, 1, 14942244, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
184, 1, 14942244, MOVE TO CITY(37 10), BEGIN, 66:21
184, 1, 15007779, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
184, 1, 15007779, MOVE TO CITY(37 10), BEGIN, 66:21
184, 2, 10289185, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
184, 4, 15073312, MOVE TO CITY(32 16), BEGIN, 39:20
184, 4, 15335488, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
184, 4, 15335488, MOVE TO CITY(39 20), BEGIN, 32:16
184, 4, 15400972, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
184, 6, 17956913, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
184, 6, 17956913, MOVE TO CITY(25 20), BEGIN, 66:21
184, 7, 15007798, MOVE TO CITY(32 16), BEGIN, 61:11
185, 1, 15073322, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
185, 2, 10289185, MOVE TO CITY(66 21), BEGIN, 22:10
185, 4, 15663180, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
185, 4, 15400972, MOVE TO CITY(32 16), BEGIN, 39:20
185, 5, 21233717, MOVE TO CITY (ALREADY THERE), COMPLETE, 66:21
185, 5, 21233717, UNITOPERATION_SPY_GREAT_WORK_HEIST, BEGIN, 67:20
185, 6, 18022449, MOVE TO CITY (ALREADY THERE), COMPLETE, 25:20
