Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
182, 1, AIR: Deploy, , , UNIT_JET_FIGHTER (14221329), Move To: 42 13
182, 1, AIR: Deploy, , , UNIT_JET_FIGHTER (14155794), Move To: 40 16
182, 1, AIR: Deploy, , , UNIT_JET_FIGHTER (14286872), Move To: 47 7
182, 1, AIR: Deploy, , , UNIT_JET_FIGHTER (14352432), Move To: 41 15
182, 1, AIR: Deploy, , , UNIT_JET_FIGHTER (14417969), Move To: 47 14
182, 1, AIR: Deploy, , , UNIT_JET_FIGHTER (14483506), Move To: 37 14
182, 1, HL: End Turn, , , UNIT_GREAT_ARTIST (14090265)
182, 2, AIR: Deploy, , , UNIT_FIGHTER (9175064), Move To: 24 14
182, 2, AIR: Deploy, , , UNIT_FIGHTER (9240605), Move To: 21 14
182, 2, HL: Move To Safety, , , UNIT_APOSTLE (9502751), Move To: 28 14
182, 2, HL: Move To Safety, , , UNIT_MISSIONARY (9895972), Move To: 26 8
182, 2, HL: End Turn, , , UNIT_BUILDER (8912912)
182, 2, HL: End Turn, , , UNIT_GREAT_GENERAL (9633809)
182, 2, HL: End Turn, , , UNIT_BUILDER (9764884)
182, 4, Leader Formation, , , UNIT_GREAT_ADMIRAL (8323117), 39 21
182, 4, Leader Formation, , , UNIT_GREAT_GENERAL (12910665), 46 21
182, 4, Heal, , , UNIT_ENGLISH_REDCOAT (9699360), 
182, 4, Heal, , , UNIT_ENGLISH_REDCOAT (12189756), 
182, 4, Heal, , , UNIT_ENGLISH_REDCOAT (12845128), 
182, 4, AIR: Rebase, , , UNIT_BIPLANE (11796528), Move To: 39 19
182, 4, AIR: Rebase, , , UNIT_BIPLANE (10485810), Move To: 41 17
182, 4, AIR: Rebase, , , UNIT_BIPLANE (11337791), Move To: 45 16
182, 4, AIR: Deploy, , , UNIT_BIPLANE (13107240), Move To: 37 19
182, 4, AIR: Deploy, , , UNIT_BIPLANE (13762619), Move To: 41 20
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (11862025), Move To: 44 20
182, 4, Wander Back to City, , , UNIT_ENGLISH_REDCOAT (14745611), Move To: 35 28
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (14549007), Move To: 43 17
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (6619153), Move To: 44 29
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (14090262), Move To: 37 27
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (5898263), Move To: 42 19
182, 4, Wander, , , UNIT_MUSKETMAN (7995416), Move To: 45 26
182, 4, Wander Back to City, , , UNIT_CROSSBOWMAN (3932185), Move To: 35 38
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (14024732), Move To: 42 20
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (14680097), Move To: 42 18
182, 4, Wander, , , UNIT_MUSKETMAN (7340075), Move To: 44 20
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (8060972), Move To: 43 23
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (8978481), Move To: 48 19
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (13828147), Move To: 39 39
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (9764916), Move To: 39 39
182, 4, Wander Back to City, , , UNIT_SUBMARINE (9961526), Move To: 44 20
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (13303863), Move To: 41 16
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (14417986), Move To: 42 21
182, 4, Wander Back to City, , , UNIT_SUBMARINE (13566021), Move To: 45 16
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (13172810), Move To: 39 38
182, 4, Wander Back to City, , , UNIT_ENGLISH_REDCOAT (14942285), Move To: 39 20
182, 4, Wander, , , UNIT_CAVALRY (6029312), Move To: 36 30
182, 4, Wander, , , UNIT_BOMBARD (7929866), Move To: 33 37
182, 4, Wander, , , UNIT_CROSSBOWMAN (4259866), Move To: 33 31
182, 4, Wander, , , UNIT_CROSSBOWMAN (4390939), Move To: 31 37
182, 4, Wander, , , UNIT_KNIGHT (4522013), Move To: 34 34
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (10158110), Move To: 34 35
182, 4, Wander, , , UNIT_MUSKETMAN (7471135), Move To: 32 36
182, 4, Wander, , , UNIT_KNIGHT (5439525), Move To: 33 34
182, 4, Wander, , , UNIT_MUSKETMAN (7209001), Move To: 32 34
182, 4, Wander, , , UNIT_BOMBARD (8454190), Move To: 33 39
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (12255288), Move To: 35 32
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (12189756), Move To: 34 37
182, 4, Wander, , , UNIT_ENGLISH_REDCOAT (12845128), Move To: 34 37
182, 4, HL: Explore fallback, , , UNIT_SCOUT (655367), Move To: 23 44
182, 4, HL: Explore fallback, , , UNIT_SCOUT (11468838), Move To: 52 18
182, 4, HL: Explore fallback, , , UNIT_SCOUT (11534401), Move To: 49 18
182, 4, HL: End Turn, , , UNIT_SCOUT (655367)
182, 4, HL: End Turn, , , UNIT_SCOUT (11468838)
182, 4, HL: End Turn, , , UNIT_SCOUT (11534401)
182, 5, Leader Formation, , , UNIT_GREAT_ADMIRAL (14090290), 54 23
182, 5, Leader Formation, , , UNIT_GREAT_GENERAL (11010114), 55 20
182, 5, Wander, , , UNIT_KNIGHT (6684675), Move To: 55 21
182, 5, Wander, , , UNIT_KNIGHT (4128775), Move To: 49 35
182, 5, Wander, , , UNIT_KNIGHT (7340052), Move To: 48 33
182, 5, Wander, , , UNIT_KNIGHT (6225950), Move To: 50 25
