Game Turn, Player, Strategy, Status
182, 1, VICTORY_STRATEGY_CULTURAL_VICTORY, Following
189, 0, VICTORY_STRATEGY_MILITARY_VICTORY, Stopped
189, 0, STRATEGY_RAPID_EXPANSION, Following
190, 6, STRATEGY_RAPID_EXPANSION, Following
195, 7, VICTORY_STRATEGY_MILITARY_VICTORY, Following
196, 7, STRATEGY_RAPID_EXPANSION, Stopped
198, 2, STRATEGY_RAPID_EXPANSION, Following
199, 1, STRATEGY_RAPID_EXPANSION, Stopped
210, 6, STRATEGY_RAPID_EXPANSION, Stopped
214, 0, STRATEGY_RAPID_EXPANSION, Stopped
218, 2, STRATEGY_RAPID_EXPANSION, Stopped
219, 1, STRATEGY_RAPID_EXPANSION, Following
234, 0, STRATEGY_RAPID_EXPANSION, Following
238, 2, STRATEGY_RAPID_EXPANSION, Following
239, 1, STRATEGY_RAPID_EXPANSION, Stopped
255, 0, STRATEGY_RAPID_EXPANSION, Stopped
258, 2, STRATEGY_RAPID_EXPANSION, Stopped
259, 5, STRATEGY_RAPID_EXPANSION, Stopped
259, 7, STRATEGY_RAPID_EXPANSION, Following
265, 2, VICTORY_STRATEGY_MILITARY_VICTORY, Stopped
265, 6, VICTORY_STRATEGY_MILITARY_VICTORY, Exclusive
266, 6, VICTORY_STRATEGY_CULTURAL_VICTORY, Stopped
266, 6, VICTORY_STRATEGY_MILITARY_VICTORY, Exclusive
