Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2064, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2049, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2048, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2114, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2064, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2049, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2048, ffffffff
183, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2114, ffffffff
184, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2320, ffffffff
184, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2305, ffffffff
184, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2304, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, -9999, -9999, 2320, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, -9999, -9999, 2305, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, -9999, -9999, 2304, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, -9999, -9999, 2064, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, -9999, -9999, 2049, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, -9999, -9999, 2048, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2320, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2305, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2304, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2370, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2370, ffffffff
185, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 66, 46, 68, 22, 16400, 7b7dd35f
186, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 44, -9999, -9999, 2320, ffffffff
186, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 44, -9999, -9999, 2305, ffffffff
186, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 44, -9999, -9999, 2304, ffffffff
186, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 44, 62, 50, 16656, 517fc64f
186, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, 56, 51, 16400, dc850406
186, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, 64, 48, 16656, 310e0543
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2370, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2370, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2370, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2370, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (2097156), 72, 47, -9999, -9999, 2370, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 69, 39, 68, 22, 16656, 90e9ecce
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 69, 39, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 69, 39, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 69, 39, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 69, 39, 68, 24, 16656, d84d5acc
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, -9999, -9999, 2304, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, -9999, -9999, 2320, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, -9999, -9999, 2305, ffffffff
187, LOC_CIVILIZATION_KONGO_NAME, UNIT_SETTLER (5308435), 61, 47, -9999, -9999, 2304, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_GREAT_MUSICIAN (5832716), 66, 21, -9999, -9999, 2320, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_GREAT_MUSICIAN (5832716), 66, 21, -9999, -9999, 2305, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_GREAT_MUSICIAN (5832716), 66, 21, -9999, -9999, 2304, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, -9999, -9999, 2064, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, -9999, -9999, 2049, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, -9999, -9999, 2048, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, -9999, -9999, 2064, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, -9999, -9999, 2049, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, -9999, -9999, 2048, ffffffff
190, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 68, 24, 67, 22, 16400, c6cb0d21
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2320, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2305, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2304, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2320, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2305, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2304, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_KONGO_SHIELD_BEARER (1769487), 66, 46, -9999, -9999, 2370, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2320, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2305, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, -9999, -9999, 2304, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 72, 47, 67, 47, 16656, 721b3556
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2064, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2049, ffffffff
191, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2048, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2320, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2305, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2304, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, -9999, -9999, 2320, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, -9999, -9999, 2305, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, -9999, -9999, 2304, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, -9999, -9999, 2064, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, -9999, -9999, 2049, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, -9999, -9999, 2048, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5963778), 66, 27, 59, 26, 16400, 582729fe
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 67, 47, -9999, -9999, 2064, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 67, 47, -9999, -9999, 2049, ffffffff
192, LOC_CIVILIZATION_KONGO_NAME, UNIT_NATURALIST (5570576), 67, 47, -9999, -9999, 2048, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2320, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2305, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2304, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2320, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2305, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2304, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2320, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2305, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_APOSTLE (5701655), 67, 22, -9999, -9999, 2304, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, -9999, -9999, 2320, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, -9999, -9999, 2305, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, -9999, -9999, 2304, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, -9999, -9999, 2320, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, -9999, -9999, 2305, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, -9999, -9999, 2304, ffffffff
193, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 66, 46, 67, 47, 16656, dd2f3c1f
194, LOC_CIVILIZATION_KONGO_NAME, UNIT_BUILDER (6029341), 67, 47, -9999, -9999, 2064, ffffffff
