Game Analysis
===TECHNOLOGIES===
Name,,Era,QuickestPathLength,QuickestPathCost,ResearchCost
LOC_TECH_POTTERY_NAME,,ERA_ANCIENT,1,25,25
LOC_TECH_ANIMAL_HUSBANDRY_NAME,,ERA_ANCIENT,1,25,25
LOC_TECH_MINING_NAME,,ERA_ANCIENT,1,25,25
LOC_TECH_SAILING_NAME,,ERA_ANCIENT,1,50,50
LOC_TECH_ASTROLOGY_NAME,,ERA_ANCIENT,1,50,50
LOC_TECH_IRRIGATION_NAME,,ERA_ANCIENT,2,75,50
LOC_TECH_ARCHERY_NAME,,ERA_ANCIENT,2,75,50
LOC_TECH_WRITING_NAME,,ERA_ANCIENT,2,75,50
LOC_TECH_MASONRY_NAME,,ERA_ANCIENT,2,105,80
LOC_TECH_BRONZE_WORKING_NAME,,ERA_ANCIENT,2,105,80
LOC_TECH_THE_WHEEL_NAME,,ERA_ANCIENT,2,105,80
LOC_TECH_CELESTIAL_NAVIGATION_NAME,,ERA_CLASSICAL,3,220,120
LOC_TECH_CURRENCY_NAME,,ERA_CLASSICAL,3,195,120
LOC_TECH_HORSEBACK_RIDING_NAME,,ERA_CLASSICAL,3,195,120
LOC_TECH_IRON_WORKING_NAME,,ERA_CLASSICAL,3,225,120
LOC_TECH_SHIPBUILDING_NAME,,ERA_CLASSICAL,2,250,200
LOC_TECH_MATHEMATICS_NAME,,ERA_CLASSICAL,4,395,200
LOC_TECH_CONSTRUCTION_NAME,,ERA_CLASSICAL,6,500,200
LOC_TECH_ENGINEERING_NAME,,ERA_CLASSICAL,3,305,200
LOC_TECH_MILITARY_TACTICS_NAME,,ERA_MEDIEVAL,5,695,300
LOC_TECH_APPRENTICESHIP_NAME,,ERA_MEDIEVAL,7,690,300
LOC_TECH_MACHINERY_NAME,,ERA_MEDIEVAL,6,805,300
LOC_TECH_EDUCATION_NAME,,ERA_MEDIEVAL,9,1280,390
LOC_TECH_STIRRUPS_NAME,,ERA_MEDIEVAL,4,585,390
LOC_TECH_MILITARY_ENGINEERING_NAME,,ERA_MEDIEVAL,7,890,390
LOC_TECH_CASTLES_NAME,,ERA_MEDIEVAL,7,890,390
LOC_TECH_CARTOGRAPHY_NAME,,ERA_RENAISSANCE,3,790,540
LOC_TECH_MASS_PRODUCTION_NAME,,ERA_RENAISSANCE,12,2070,540
LOC_TECH_BANKING_NAME,,ERA_RENAISSANCE,11,2210,540
LOC_TECH_GUNPOWDER_NAME,,ERA_RENAISSANCE,13,2315,540
LOC_TECH_PRINTING_NAME,,ERA_RENAISSANCE,7,1345,540
LOC_TECH_SQUARE_RIGGING_NAME,,ERA_RENAISSANCE,4,1450,660
LOC_TECH_ASTRONOMY_NAME,,ERA_RENAISSANCE,10,1940,660
LOC_TECH_METAL_CASTING_NAME,,ERA_RENAISSANCE,14,2975,660
LOC_TECH_SIEGE_TACTICS_NAME,,ERA_RENAISSANCE,8,1550,660
LOC_TECH_INDUSTRIALIZATION_NAME,,ERA_INDUSTRIAL,15,4115,845
LOC_TECH_SCIENTIFIC_THEORY_NAME,,ERA_INDUSTRIAL,13,3715,845
LOC_TECH_BALLISTICS_NAME,,ERA_INDUSTRIAL,15,3820,845
LOC_TECH_MILITARY_SCIENCE_NAME,,ERA_INDUSTRIAL,15,3715,845
LOC_TECH_STEAM_POWER_NAME,,ERA_INDUSTRIAL,16,5085,970
LOC_TECH_SANITATION_NAME,,ERA_INDUSTRIAL,14,4685,970
LOC_TECH_ECONOMICS_NAME,,ERA_INDUSTRIAL,20,6580,970
LOC_TECH_RIFLING_NAME,,ERA_INDUSTRIAL,25,8005,970
LOC_TECH_FLIGHT_NAME,,ERA_MODERN,20,7690,1140
LOC_TECH_REPLACEABLE_PARTS_NAME,,ERA_MODERN,21,7720,1140
LOC_TECH_STEEL_NAME,,ERA_MODERN,26,9145,1140
LOC_TECH_ELECTRICITY_NAME,,ERA_MODERN,17,6335,1250
LOC_TECH_RADIO_NAME,,ERA_MODERN,22,9910,1250
LOC_TECH_CHEMISTRY_NAME,,ERA_MODERN,15,5935,1250
LOC_TECH_COMBUSTION_NAME,,ERA_MODERN,27,10395,1250
LOC_TECH_ADVANCED_FLIGHT_NAME,,ERA_ATOMIC,23,11320,1410
LOC_TECH_ROCKETRY_NAME,,ERA_ATOMIC,25,13540,1410
LOC_TECH_ADVANCED_BALLISTICS_NAME,,ERA_ATOMIC,34,15300,1410
LOC_TECH_COMBINED_ARMS_NAME,,ERA_ATOMIC,28,11805,1410
LOC_TECH_PLASTICS_NAME,,ERA_ATOMIC,28,11805,1410
LOC_TECH_COMPUTERS_NAME,,ERA_ATOMIC,24,12740,1580
LOC_TECH_NUCLEAR_FISSION_NAME,,ERA_ATOMIC,37,19540,1580
LOC_TECH_SYNTHETIC_MATERIALS_NAME,,ERA_ATOMIC,29,13385,1580
LOC_TECH_TELECOMMUNICATIONS_NAME,,ERA_INFORMATION,25,14590,1850
LOC_TECH_SATELLITES_NAME,,ERA_INFORMATION,27,16800,1850
LOC_TECH_GUIDANCE_SYSTEMS_NAME,,ERA_INFORMATION,47,26975,1850
LOC_TECH_LASERS_NAME,,ERA_INFORMATION,38,21390,1850
LOC_TECH_COMPOSITES_NAME,,ERA_INFORMATION,30,15235,1850
LOC_TECH_STEALTH_TECHNOLOGY_NAME,,ERA_INFORMATION,30,15235,1850
LOC_TECH_ROBOTICS_NAME,,ERA_INFORMATION,25,14895,2155
LOC_TECH_NANOTECHNOLOGY_NAME,,ERA_INFORMATION,31,17390,2155
LOC_TECH_NUCLEAR_FUSION_NAME,,ERA_INFORMATION,39,23545,2155
LOC_TECH_FUTURE_TECH_NAME,,ERA_INFORMATION,61,51110,2500
===CIVICS===
Name,,Era,QuickestPathLength,QuickestPathCost,CulturevateCost
LOC_CIVIC_CODE_OF_LAWS_NAME,,ERA_ANCIENT,1,20,20
LOC_CIVIC_CRAFTSMANSHIP_NAME,,ERA_ANCIENT,2,60,40
LOC_CIVIC_FOREIGN_TRADE_NAME,,ERA_ANCIENT,2,60,40
LOC_CIVIC_MILITARY_TRADITION_NAME,,ERA_ANCIENT,3,110,50
LOC_CIVIC_STATE_WORKFORCE_NAME,,ERA_ANCIENT,3,130,70
LOC_CIVIC_EARLY_EMPIRE_NAME,,ERA_ANCIENT,3,130,70
LOC_CIVIC_MYSTICISM_NAME,,ERA_ANCIENT,3,110,50
LOC_CIVIC_GAMES_RECREATION_NAME,,ERA_CLASSICAL,4,240,110
LOC_CIVIC_POLITICAL_PHILOSOPHY_NAME,,ERA_CLASSICAL,6,350,110
LOC_CIVIC_DRAMA_POETRY_NAME,,ERA_CLASSICAL,4,240,110
LOC_CIVIC_MILITARY_TRAINING_NAME,,ERA_CLASSICAL,6,410,120
LOC_CIVIC_DEFENSIVE_TACTICS_NAME,,ERA_CLASSICAL,8,635,175
LOC_CIVIC_RECORDED_HISTORY_NAME,,ERA_CLASSICAL,8,635,175
LOC_CIVIC_THEOLOGY_NAME,,ERA_CLASSICAL,6,410,120
LOC_CIVIC_NAVAL_TRADITION_NAME,,ERA_MEDIEVAL,9,835,200
LOC_CIVIC_FEUDALISM_NAME,,ERA_MEDIEVAL,9,910,275
LOC_CIVIC_CIVIL_SERVICE_NAME,,ERA_MEDIEVAL,11,1195,275
LOC_CIVIC_MERCENARIES_NAME,,ERA_MEDIEVAL,12,1370,290
LOC_CIVIC_MEDIEVAL_FAIRES_NAME,,ERA_MEDIEVAL,10,1295,385
LOC_CIVIC_GUILDS_NAME,,ERA_MEDIEVAL,13,1855,385
LOC_CIVIC_DIVINE_RIGHT_NAME,,ERA_MEDIEVAL,14,1655,290
LOC_CIVIC_EXPLORATION_NAME,,ERA_RENAISSANCE,14,2155,400
LOC_CIVIC_HUMANISM_NAME,,ERA_RENAISSANCE,15,2780,540
LOC_CIVIC_DIPLOMATIC_SERVICE_NAME,,ERA_RENAISSANCE,14,2395,540
LOC_CIVIC_REFORMED_CHURCH_NAME,,ERA_RENAISSANCE,17,2715,400
LOC_CIVIC_MERCANTILISM_NAME,,ERA_RENAISSANCE,16,3435,655
LOC_CIVIC_THE_ENLIGHTENMENT_NAME,,ERA_RENAISSANCE,17,3975,655
LOC_CIVIC_COLONIALISM_NAME,,ERA_INDUSTRIAL,17,4160,725
LOC_CIVIC_CIVIL_ENGINEERING_NAME,,ERA_INDUSTRIAL,17,4355,920
LOC_CIVIC_NATIONALISM_NAME,,ERA_INDUSTRIAL,18,4895,920
LOC_CIVIC_OPERA_BALLET_NAME,,ERA_INDUSTRIAL,18,4700,725
LOC_CIVIC_NATURAL_HISTORY_NAME,,ERA_INDUSTRIAL,18,5030,870
LOC_CIVIC_SCORCHED_EARTH_NAME,,ERA_INDUSTRIAL,19,5955,1060
LOC_CIVIC_URBANIZATION_NAME,,ERA_INDUSTRIAL,21,7530,1060
LOC_CIVIC_CONSERVATION_NAME,,ERA_MODERN,19,6285,1255
LOC_CIVIC_CAPITALISM_NAME,,ERA_MODERN,25,12095,1560
LOC_CIVIC_NUCLEAR_PROGRAM_NAME,,ERA_MODERN,27,14320,1715
LOC_CIVIC_MASS_MEDIA_NAME,,ERA_MODERN,24,10535,1410
LOC_CIVIC_MOBILIZATION_NAME,,ERA_MODERN,22,8940,1410
LOC_CIVIC_IDEOLOGY_NAME,,ERA_MODERN,26,12605,660
LOC_CIVIC_SUFFRAGE_NAME,,ERA_MODERN,27,14320,1715
LOC_CIVIC_TOTALITARIANISM_NAME,,ERA_MODERN,27,14320,1715
LOC_CIVIC_CLASS_STRUGGLE_NAME,,ERA_MODERN,27,14320,1715
LOC_CIVIC_COLD_WAR_NAME,,ERA_ATOMIC,27,14790,2185
LOC_CIVIC_PROFESSIONAL_SPORTS_NAME,,ERA_ATOMIC,27,14790,2185
LOC_CIVIC_CULTURAL_HERITAGE_NAME,,ERA_ATOMIC,20,8240,1955
LOC_CIVIC_RAPID_DEPLOYMENT_NAME,,ERA_ATOMIC,28,17205,2415
LOC_CIVIC_SPACE_RACE_NAME,,ERA_ATOMIC,28,17205,2415
LOC_CIVIC_GLOBALIZATION_NAME,,ERA_INFORMATION,30,22500,2880
LOC_CIVIC_SOCIAL_MEDIA_NAME,,ERA_INFORMATION,30,22270,2880
LOC_CIVIC_FUTURE_CIVIC_NAME,,ERA_INFORMATION,33,30765,3200
===BUILDINGS===
Name,TechName,TechEra,TechQuickestPathLength,TechQuickestPathCost,ProductionCost,Value
LOC_BUILDING_MONUMENT_NAME,NO_TECH,ERA_ANCIENT,0,0,60,2.00
LOC_BUILDING_PALACE_NAME,NO_TECH,ERA_ANCIENT,0,0,1,7.50
LOC_BUILDING_BARRACKS_NAME,LOC_TECH_BRONZE_WORKING_NAME,ERA_ANCIENT,2,105,90,0.50
LOC_BUILDING_GRANARY_NAME,LOC_TECH_POTTERY_NAME,ERA_ANCIENT,1,25,65,1.00
LOC_BUILDING_LIBRARY_NAME,LOC_TECH_WRITING_NAME,ERA_ANCIENT,2,75,90,1.50
LOC_BUILDING_SHRINE_NAME,LOC_TECH_ASTROLOGY_NAME,ERA_ANCIENT,1,50,70,1.50
LOC_BUILDING_WALLS_NAME,LOC_TECH_MASONRY_NAME,ERA_ANCIENT,2,105,80,0.00
LOC_BUILDING_WATER_MILL_NAME,LOC_TECH_THE_WHEEL_NAME,ERA_ANCIENT,2,105,80,2.00
LOC_BUILDING_LIGHTHOUSE_NAME,LOC_TECH_CELESTIAL_NAVIGATION_NAME,ERA_CLASSICAL,3,220,120,1.50
LOC_BUILDING_MARKET_NAME,LOC_TECH_CURRENCY_NAME,ERA_CLASSICAL,3,195,120,1.50
LOC_BUILDING_STABLE_NAME,LOC_TECH_HORSEBACK_RIDING_NAME,ERA_CLASSICAL,3,195,120,0.50
LOC_BUILDING_CASTLE_NAME,LOC_TECH_CASTLES_NAME,ERA_MEDIEVAL,7,890,225,0.00
LOC_BUILDING_UNIVERSITY_NAME,LOC_TECH_EDUCATION_NAME,ERA_MEDIEVAL,9,1280,250,3.00
