Game Turn, City, Production Added, Current Item, Current Production, Production Needed
182, LOC_CITY_NAME_URUK, 76.0, PROJECT_MANHATTAN_PROJECT, 372.5, 670
182, LOC_CITY_NAME_UR, 110.5, BUILDING_EIFFEL_TOWER, 613.7, 1085
182, LOC_CITY_NAME_JIAODONG, 69.6, BUILDING_ESTADIO_DO_MARACANA, 774.5, 1165
182, LOC_CITY_NAME_XIAN, 71.7, BUILDING_BOLSHOI_THEATRE, 146.0, 830
182, LOC_CITY_NAME_ADAB, 111.0, UNIT_MACHINE_GUN, 342.9, 813
182, LOC_CITY_NAME_LAGASH, 163.6, BUILDING_MILITARY_ACADEMY, 163.6, 261
182, LOC_CITY_NAME_SIPPAR, 61.1, UNIT_MECHANIZED_INFANTRY, 108.1, 435
182, LOC_CITY_NAME_NIPPUR, 42.5, BUILDING_SEAPORT, 354.1, 388
182, LOC_CITY_NAME_ERIDU, 31.4, DISTRICT_COMMERCIAL_HUB, 94.4, 322
182, LOC_CITY_NAME_AKSHAK, 7.2, UNIT_MISSILE_CRUISER, 214.7, 455
182, LOC_CITY_NAME_LARSA, 29.6, BUILDING_HANGAR, 88.8, 311
182, LOC_CITY_NAME_NIDAROS, 82.3, UNIT_SPY, 274.0, 301
182, LOC_CITY_NAME_KRISTIANSAND, 38.6, BUILDING_ARENA, 38.6, 100
182, LOC_CITY_NAME_STAVANGER, 30.6, DISTRICT_INDUSTRIAL_ZONE, 125.3, 156
182, LOC_CITY_NAME_KABUL, 40.5, UNIT_FIGHTER, 287.5, 348
182, LOC_CITY_NAME_SKEDSMO, 72.0, BUILDING_ZOO, 72.0, 298
182, LOC_CITY_NAME_SKIEN, 52.7, UNIT_BOMBER, 52.7, 375
182, LOC_CITY_NAME_OSLO, 40.8, BUILDING_SEAPORT, 393.0, 388
182, LOC_CITY_NAME_AVALDSNES, 29.4, DISTRICT_COMMERCIAL_HUB, 29.4, 263
182, LOC_CITY_NAME_GENEVA, 52.7, BUILDING_SHIPYARD, 145.9, 194
182, LOC_CITY_NAME_ALESUND, 14.0, BUILDING_STAR_FORT, 46.3, 204
182, LOC_CITY_NAME_LONDON, 63.0, UNIT_SUBMARINE, 537.2, 723
182, LOC_CITY_NAME_SHEFFIELD, 255.7, BUILDING_RESEARCH_LAB, 255.7, 388
182, LOC_CITY_NAME_BRISTOL, 82.8, UNIT_ENGLISH_REDCOAT, 515.6, 511
182, LOC_CITY_NAME_BIRMINGHAM, 91.0, BUILDING_RESEARCH_LAB, 259.4, 388
182, LOC_CITY_NAME_PLYMOUTH, 36.8, BUILDING_SEAPORT, 308.2, 388
182, LOC_CITY_NAME_LEEDS, 57.8, BUILDING_HANGAR, 307.5, 311
182, LOC_CITY_NAME_KANDY, 24.5, BUILDING_SEWER, 90.4, 134
182, LOC_CITY_NAME_BRADFORD, 27.0, BUILDING_SHIPYARD, 83.2, 194
182, LOC_CITY_NAME_MANCHESTER, 43.2, BUILDING_POWER_PLANT, 362.3, 388
182, LOC_CITY_NAME_PRESTON, 35.7, BUILDING_MARKET, 35.7, 80
182, LOC_CITY_NAME_PRESTON, 49.0, BUILDING_MARKET, 84.7, 80
182, LOC_CITY_NAME_PARIS, 160.5, BUILDING_HANGAR, 160.5, 311
182, LOC_CITY_NAME_BORDEAUX, 60.9, BUILDING_STADIUM, 344.4, 442
182, LOC_CITY_NAME_LA_ROCHELLE, 72.1, BUILDING_BOLSHOI_THEATRE, 537.9, 830
182, LOC_CITY_NAME_ROUEN, 79.0, UNIT_INFANTRY, 79.0, 288
182, LOC_CITY_NAME_NANTES, 42.6, BUILDING_STAR_FORT, 116.7, 204
182, LOC_CITY_NAME_RENNES, 73.0, BUILDING_STADIUM, 431.3, 442
182, LOC_CITY_NAME_MARSEILLE, 26.4, BUILDING_STAR_FORT, 88.5, 204
182, LOC_CITY_NAME_MOHENJO_DARO, 24.4, BUILDING_BANK, 181.2, 194
182, LOC_CITY_NAME_TOULOUSE, 24.4, BUILDING_CASTLE, 144.9, 150
182, LOC_CITY_NAME_RHEIMS, 46.7, BUILDING_SEAPORT, 223.3, 388
182, LOC_CITY_NAME_RIO_DE_JANEIRO, 107.7, UNIT_BRAZILIAN_MINAS_GERAES, 244.4, 648
182, LOC_CITY_NAME_FORTALEZA, 37.0, BUILDING_SEAPORT, 306.8, 388
182, LOC_CITY_NAME_BELEM, 61.0, BUILDING_STADIUM, 496.3, 442
182, LOC_CITY_NAME_YEREVAN, 69.6, BUILDING_POWER_PLANT, 69.6, 388
182, LOC_CITY_NAME_SALVADOR, 27.8, DISTRICT_COMMERCIAL_HUB, 241.5, 322
182, LOC_CITY_NAME_MANAUS, 25.9, UNIT_SPY, 462.9, 603
182, LOC_CITY_NAME_GUARULHOS, 55.1, DISTRICT_ENCAMPMENT, 313.5, 322
182, LOC_CITY_NAME_PORTO_ALEGRE, 47.5, DISTRICT_THEATER, 299.8, 322
182, LOC_CITY_NAME_SAO_LUIS, 35.1, BUILDING_POWER_PLANT, 386.6, 388
182, LOC_CITY_NAME_NATAL, 37.0, DISTRICT_ENCAMPMENT, 142.0, 322
182, LOC_CITY_NAME_MACEIO, 10.0, UNIT_TRADER, 23.9, 97
182, LOC_CITY_NAME_STOCKHOLM, 21.9, UNIT_AT_CREW, 109.7, 268
182, LOC_CITY_NAME_MACEIO, 128.3, UNIT_TRADER, 152.2, 97
182, LOC_CITY_NAME_CAIRO, 153.5, UNIT_BOMBER, 153.5, 375
182, LOC_CITY_NAME_BAGHDAD, 55.5, BUILDING_HANGAR, 260.7, 311
182, LOC_CITY_NAME_HONG_KONG, 111.6, UNIT_MUSKETMAN, 111.6, 160
182, LOC_CITY_NAME_MEDINA, 57.3, UNIT_SUBMARINE, 180.9, 482
182, LOC_CITY_NAME_ADEN, 62.9, BUILDING_SEAPORT, 218.4, 388
182, LOC_CITY_NAME_MECCA, 25.9, BUILDING_STOCK_EXCHANGE, 113.2, 261
182, LOC_CITY_NAME_JEDDAH, 31.4, BUILDING_STOCK_EXCHANGE, 162.2, 261
182, LOC_CITY_NAME_HATTIN, 58.4, DISTRICT_ENCAMPMENT, 58.4, 133
182, LOC_CITY_NAME_HOMS, 16.6, BUILDING_MUSEUM_ARTIFACT, 143.9, 194
182, LOC_CITY_NAME_ZANZIBAR, 14.8, BUILDING_SEAPORT, 215.6, 388
182, LOC_CITY_NAME_BUENOS_AIRES, 4.1, BUILDING_SHIPYARD, 59.4, 194
182, LOC_CITY_NAME_NAN_MADOL, 14.0, BUILDING_BROADCAST_CENTER, 292.3, 388
182, LOC_CITY_NAME_PRESLAV, 4.0, UNIT_CROSSBOWMAN, 60.0, 120
182, LOC_CITY_NAME_LA_VENTA, 8.0, PROJECT_ENHANCE_DISTRICT_HOLY_SITE, 124.5, 171
182, LOC_CITY_NAME_BANDAR_BRUNEI, 9.6, BUILDING_STAR_FORT, 212.5, 204
182, LOC_CITY_NAME_VALLETTA, 7.2, UNIT_BUILDER, 51.1, 46
182, LOC_CITY_NAME_AMSTERDAM, 4.8, BUILDING_SEWER, 22.2, 134
