Game Turn, From, To, Initiator, Type, SubType, Message
182, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
182, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Adding to pending
182, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Statement
182, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Immediately
182, 2, 7, -1, WARNING_STOP_SPYING_ON_ME, NONE, 00000000, Requesting Session (B)
182, 2, 7, ?, MAKE_PROMISE, c298a89c, ?, Processing Action From AI to AI
182, 2, 7, -1, WARNING_STOP_SPYING_ON_ME, NONE, INITIAL, Requesting session between two AIs!
183, 5, 7, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
183, 5, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
183, 5, 7, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
183, 0, 4, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
183, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
183, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
183, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
183, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
183, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
183, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
183, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
183, 7, 2, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
183, 0, 5, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
183, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
183, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
184, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
184, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
184, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
184, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
184, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
184, 0, 5, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
184, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
184, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
184, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
184, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
184, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
184, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
184, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
184, 5, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
