Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
182, 1, 5, 与一位敌人结盟, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
182, 1, 0, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
182, 1, 5, 已与一位敌人宣布友好, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
182, 1, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
182, 1, 2, 已谴责一位敌人, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
182, 1, 7, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
182, 1, 4, 已谴责一位朋友, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
182, 1, 6, 他们讨厌拥有小规模常备军的文明, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
182, 1, 6, 吉尔伽美什讨厌您谴责他的朋友, Update,   -7.0
182, 2, 5, 与一位敌人结盟, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
182, 2, 5, 已与一位敌人宣布友好, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
182, 2, 1, 已谴责一位敌人, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
182, 2, 4, 我们谴责了他们, Update,   -6.0
182, 2, 5, 对他们有利的交易, Update,    4.0
182, 4, 0, 与一位敌人结盟, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
182, 4, 1, 与一位敌人结盟, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
182, 4, 5, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
182, 4, 0, 已与一位敌人宣布友好, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
182, 4, 5, 已与一位朋友宣布友好, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
182, 4, 1, 已谴责一位敌人, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
182, 4, 6, 我们的军队已到达他们边境, Update,   -1.0
182, 5, 0, 他们很高兴看到您清理蛮族营地, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
182, 0, 5, 联盟, Activate,   18.0,   18.0,    1.0, 0, 10,   -1.0
182, 2,  5, 我们的军队已到达他们边境, Deactivate
182, 5, 4, 与一位朋友结盟, Activate,    3.0,    3.0,    0.0, 0, 0,    1.0
182, 5, 7, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
182, 5, 4, 已与一位朋友宣布友好, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
182, 5, 7, 已与一位朋友宣布友好, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
182, 5, 1, 已谴责一位敌人, Activate,    3.0,    3.0,    0.0, 0, 0,    1.0
182, 5, 7, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
182, 5, 1, 已谴责一位朋友, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
182, 5, 2, 已谴责一位朋友, Activate,   -7.0,   -7.0,    0.0, 0, 0,    1.0
182, 5, 0, 尊重有强大间谍网络的对手, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
182, 5, 2, 对他们有利的交易, Update,    6.0
182, 5, 4, 对他们有利的交易, Update,    8.0
182, 5, 7, 我们谴责了他们, Update,   -4.0
182, 6, 1, 他们很高兴看到另一个拥有大型常备军的文明, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
182, 6, 0, 与一位敌人结盟, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
182, 6, 1, 与一位敌人结盟, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
182, 6, 5, 与一位敌人结盟, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
182, 6, 0, 已与一位敌人宣布友好, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
182, 6, 4, 已谴责一位敌人, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
182, 6, 7, 已谴责一位敌人, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
182, 6, 4, 拒绝向他们做出外交承诺, Update,   -4.0
182, 7, 6, 对他们有利的交易, Activate,   10.0,   10.0,    0.0, 0, 2,   -1.0
182, 7,  6, 对他们有利的交易, Deactivate
182, 6, 7, 对他们有利的交易, Activate,   10.0,   10.0,    0.0, 0, 2,   -1.0
182, 6,  7, 对他们有利的交易, Deactivate
182, 7, 5, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
182, 7, 5, 已与一位朋友宣布友好, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
182, 7, 1, 已谴责一位敌人, Activate,    3.0,    3.0,    0.0, 0, 0,    1.0
182, 7, 1, 已谴责一位朋友, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
182, 7, 1, 对他们有利的交易, Update,    4.0
182, 7, 4, 联盟, Update,   16.0
182, 7, 4, 宣布友好, Update,    7.0
182, 2, 7, 监视他们, Activate,   -5.0,   -5.0,    0.0, 0, 15,    1.0
182, 2,  7, 监视他们, Deactivate
183, 0, 1, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
183, 0, 1, 已与一位朋友宣布友好, Activate,    3.0,    3.0,    0.0, 0, 0,    1.0
183, 0, 4, 已与一位朋友宣布友好, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 0, 7, 已与一位朋友宣布友好, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 5, 0, 联盟, Activate,   18.0,   18.0,    1.0, 0, 10,   -1.0
183, 0, 1, 对他们有利的交易, Update,    9.0
183, 0, 1, 您的好战性, Update,  -20.0
183, 0, 5, 您的好战性, Update,  -23.0
183, 0, 6, 您的好战性, Update,   -4.0
183, 1, 0, 与一位敌人结盟, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
183, 1, 4, 与一位敌人结盟, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
183, 1, 7, 与一位敌人结盟, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
183, 1, 7, 已与一位敌人宣布友好, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
183, 1, 4, 已与一位朋友宣布友好, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 1, 5, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
183, 1, 0, 对他们有利的交易, Update,    0.0
183, 1, 2, 吉尔伽美什讨厌您谴责他的朋友, Update,   -9.0
183, 1, 4, 您的好战性, Update,   -8.0
183, 1, 5, 对他们有利的交易, Update,    4.0
183, 1, 6, 您的好战性, Update,   -5.0
183, 1, 7, 对他们有利的交易, Update,    3.0
183, 1, 7, 吉尔伽美什讨厌您谴责他的朋友, Update,   -7.0
183, 2, 1, 在他们附近定居, Activate,    0.0,    0.0,    0.0, 0, 10,   -1.0
