Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
182, 2, 0, Deal Proposed, 0 GreatWork for 0 turns from 0 to 2; 0 GreatWork for 0 turns from 0 to 2; 1 RESOURCE_WHALES for 30 turns from 2 to 0; 1 RESOURCE_CITRUS for 30 turns from 2 to 0; 20 Gold for 0 turns from 2 to 0; 4 Gold for 30 turns from 2 to 0; , 2226.5, 1
182, 6, 7, Deal Proposed, 1 RESOURCE_GYPSUM for 30 turns from 7 to 6; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 1 RESOURCE_COFFEE for 30 turns from 6 to 7; 6 Gold for 0 turns from 6 to 7; 1 Gold for 30 turns from 6 to 7; , 2228.5, 1
182, 7, 6, Deal Accepted, 1 RESOURCE_GYPSUM for 30 turns from 7 to 6; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 1 RESOURCE_COFFEE for 30 turns from 6 to 7; 6 Gold for 0 turns from 6 to 7; 1 Gold for 30 turns from 6 to 7; , 2228.5, 0
182, 2, 7, Promise Refused, Spy, 2230.5, 1
182, 7, 22, Gave Influence, , 2230.5, 0
183, 0, 16, Gave Influence, , 2230.5, 0
183, 0, 16, Gave Influence, , 2230.5, 0
183, 2, 1, Deal Proposed, 1 RESOURCE_URANIUM for 30 turns from 1 to 2; 1 RESOURCE_WHALES for 30 turns from 2 to 1; 4 Gold for 0 turns from 2 to 1; , 2230.5, 1
183, 2, 1, Deal Closed, 1 RESOURCE_URANIUM for 30 turns from 1 to 2; 1 RESOURCE_WHALES for 30 turns from 2 to 1; 4 Gold for 0 turns from 2 to 1; , 2230.5, 1
183, 1, 2, Deal Rejected, 1 RESOURCE_URANIUM for 30 turns from 1 to 2; 1 RESOURCE_WHALES for 30 turns from 2 to 1; 4 Gold for 0 turns from 2 to 1; , 2230.5, 1
183, 7, 2, Denounced, , 2233.5, 0
183, 7, 6, Deal Proposed, 1 RESOURCE_PEARLS for 30 turns from 6 to 7; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 4 Gold for 0 turns from 7 to 6; , 2234.5, 0
183, 7, 6, Deal Closed, 1 RESOURCE_PEARLS for 30 turns from 6 to 7; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 4 Gold for 0 turns from 7 to 6; , 2234.5, 0
183, 6, 7, Deal Rejected, 1 RESOURCE_PEARLS for 30 turns from 6 to 7; 1 RESOURCE_COTTON for 30 turns from 7 to 6; 4 Gold for 0 turns from 7 to 6; , 2234.5, 1
184, 2, 6, Deal Proposed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 122 Gold for 30 turns from 2 to 6; , 2234.5, 1
184, 2, 6, Deal Closed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 122 Gold for 30 turns from 2 to 6; , 2234.5, 1
184, 6, 2, Deal Rejected, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 122 Gold for 30 turns from 2 to 6; , 2234.5, 1
184, 4, 20, Gave Influence, , 2234.5, 0
184, 7, 2, Deal Proposed, 0 Captive for 0 turns from 2 to 7; 1 RESOURCE_COTTON for 30 turns from 7 to 2; 3 Gold for 0 turns from 7 to 2; 2 Gold for 30 turns from 7 to 2; , 2238.5, 0
184, 2, 7, Deal Accepted, 0 Captive for 0 turns from 2 to 7; 1 RESOURCE_COTTON for 30 turns from 7 to 2; 3 Gold for 0 turns from 7 to 2; 2 Gold for 30 turns from 7 to 2; , 2238.5, 1
185, 1, 14, Gave Influence, , 2238.5, 0
185, 1, 2, Deal Proposed, 1 RESOURCE_WHALES for 30 turns from 2 to 1; 1 Gold for 0 turns from 1 to 2; , 2238.5, 1
185, 1, 2, Deal Closed, 1 RESOURCE_WHALES for 30 turns from 2 to 1; 1 Gold for 0 turns from 1 to 2; , 2238.5, 1
185, 2, 1, Deal Rejected, 1 RESOURCE_WHALES for 30 turns from 2 to 1; 1 Gold for 0 turns from 1 to 2; , 2238.5, 1
185, 2, 4, Promise Refused, Settle, 2238.5, 2
185, 4, 6, Promise Refused, , 2241.5, 1
185, 6, 16, Gave Influence, , 2241.5, 0
185, 7, 4, Deal Proposed, 0 Unknown agreement for 30 turns from 4 to 7; 12 Gold for 0 turns from 7 to 4; 0 Unknown agreement for 30 turns from 7 to 4; , 2241.5, 1
185, 4, 7, Deal Accepted, 0 Unknown agreement for 30 turns from 4 to 7; 12 Gold for 0 turns from 7 to 4; 0 Unknown agreement for 30 turns from 7 to 4; , 2241.5, 3
185, 7, 4, Allied, , 2241.5, 1
185, 4, 7, Allied, , 2241.5, 3
186, 2, 1, Denounced, , 2241.5, 1
186, 4, 1, Deal Proposed, 1 RESOURCE_PERFUME for 30 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 1 RESOURCE_COCOA for 30 turns from 4 to 1; 0 Captive for 0 turns from 4 to 1; 9 Gold for 0 turns from 4 to 1; 3 Gold for 30 turns from 4 to 1; , 2244.5, 1
186, 4, 1, Deal Closed, 1 RESOURCE_PERFUME for 30 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 1 RESOURCE_COCOA for 30 turns from 4 to 1; 0 Captive for 0 turns from 4 to 1; 9 Gold for 0 turns from 4 to 1; 3 Gold for 30 turns from 4 to 1; , 2244.5, 1
186, 1, 4, Deal Rejected, 1 RESOURCE_PERFUME for 30 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 0 GreatWork for 0 turns from 1 to 4; 1 RESOURCE_COCOA for 30 turns from 4 to 1; 0 Captive for 0 turns from 4 to 1; 9 Gold for 0 turns from 4 to 1; 3 Gold for 30 turns from 4 to 1; , 2244.5, 1
186, 5, 4, Denounced, , 2244.5, 3
186, 6, 16, Gave Influence, , 2249.5, 0
186, 6, 16, Gave Influence, , 2249.5, 0
186, 7, 12, Gave Influence, , 2249.5, 0
186, 7, 12, Gave Influence, , 2249.5, 0
187, 1, 6, Deal Proposed, 0 Peace for 20 turns from 1 to 6; 0 Peace for 20 turns from 6 to 1; 0 GreatWork for 0 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 22 Gold for 0 turns from 1 to 6; 1 Gold for 30 turns from 1 to 6; , 2249.5, 1
187, 1, 6, Deal Closed, 0 Peace for 20 turns from 1 to 6; 0 Peace for 20 turns from 6 to 1; 0 GreatWork for 0 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 22 Gold for 0 turns from 1 to 6; 1 Gold for 30 turns from 1 to 6; , 2249.5, 1
187, 6, 1, Deal Rejected, 0 Peace for 20 turns from 1 to 6; 0 Peace for 20 turns from 6 to 1; 0 GreatWork for 0 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 22 Gold for 0 turns from 1 to 6; 1 Gold for 30 turns from 1 to 6; , 2249.5, 1
187, 2, 6, Deal Proposed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 126 Gold for 30 turns from 2 to 6; , 2249.5, 1
187, 2, 6, Deal Closed, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 126 Gold for 30 turns from 2 to 6; , 2249.5, 1
187, 6, 2, Deal Rejected, 0 Peace for 20 turns from 2 to 6; 0 Peace for 20 turns from 6 to 2; 1 RESOURCE_NITER for 30 turns from 2 to 6; 1 RESOURCE_IRON for 30 turns from 2 to 6; 1 RESOURCE_ALUMINUM for 30 turns from 2 to 6; 1 RESOURCE_WHALES for 30 turns from 2 to 6; 1 RESOURCE_SILVER for 30 turns from 2 to 6; 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 126 Gold for 30 turns from 2 to 6; , 2249.5, 1
187, 6, 7, Promise Broken, Convert Cities, 2256.0, 1
187, 6, 5, Deal Proposed, 0 Peace for 20 turns from 6 to 5; 0 Peace for 20 turns from 5 to 6; 19 Gold for 0 turns from 6 to 5; 2 Gold for 30 turns from 6 to 5; , 2256.0, 1
