Update: 186 spline, 685 tower
Update: 364 spline, 1312 tower
Free: 182 spline, 656 tower
Update: 11 spline, 22 tower
Update: 38 spline, 116 tower
Free: 19 spline, 58 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 24 spline, 72 tower
Free: 12 spline, 36 tower
Update: 16 spline, 54 tower
Free: 8 spline, 27 tower
Update: 1 spline, 5 tower
Update: 18 spline, 96 tower
Free: 9 spline, 48 tower
Update: 10 spline, 38 tower
Free: 5 spline, 19 tower
Update: 3 spline, 8 tower
Update: 74 spline, 258 tower
Free: 37 spline, 129 tower
Update: 72 spline, 252 tower
Free: 36 spline, 126 tower
Update: 3 spline, 8 tower
Update: 3 spline, 8 tower
Update: 3 spline, 8 tower
Update: 10 spline, 50 tower
Update: 30 spline, 86 tower
Free: 15 spline, 43 tower
Update: 14 spline, 50 tower
Free: 7 spline, 25 tower
Update: 4 spline, 18 tower
Update: 8 spline, 33 tower
Free: 4 spline, 18 tower
Update: 7 spline, 24 tower
Free: 3 spline, 9 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 4 spline, 15 tower
Update: 1 spline, 5 tower
Update: 55 spline, 215 tower
Free: 28 spline, 112 tower
Update: 45 spline, 131 tower
Free: 22 spline, 63 tower
Update: 1 spline, 5 tower
Update: 1 spline, 5 tower
Update: 1 spline, 5 tower
Update: 1 spline, 5 tower
Update: 1 spline, 5 tower
Update: 1 spline, 5 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 1 spline, 6 tower
Update: 2 spline, 12 tower
Free: 1 spline, 6 tower
Update: 10 spline, 38 tower
Free: 5 spline, 19 tower
Update: 3 spline, 10 tower
Update: 4 spline, 24 tower
Free: 2 spline, 12 tower
Update: 8 spline, 20 tower
Free: 4 spline, 9 tower
Update: 28 spline, 76 tower
Free: 14 spline, 38 tower
Update: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 6 spline, 20 tower
Free: 3 spline, 10 tower
Update: 6 spline, 44 tower
Free: 3 spline, 22 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 18 spline, 64 tower
Free: 9 spline, 32 tower
Update: 6 spline, 26 tower
Free: 3 spline, 13 tower
Update: 1 spline, 5 tower
Update: 12 spline, 40 tower
Free: 6 spline, 20 tower
Update: 16 spline, 66 tower
Free: 8 spline, 33 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 3 spline, 8 tower
Update: 90 spline, 270 tower
Free: 45 spline, 135 tower
Update: 62 spline, 168 tower
Free: 29 spline, 80 tower
Update: 51 spline, 120 tower
Free: 24 spline, 56 tower
Update: 27 spline, 66 tower
Free: 12 spline, 29 tower
Update: 7 spline, 52 tower
Update: 24 spline, 108 tower
Free: 12 spline, 55 tower
Update: 14 spline, 75 tower
Free: 6 spline, 30 tower
Update: 3 spline, 21 tower
Update: 3 spline, 21 tower
Update: 1 spline, 6 tower
Update: 2 spline, 16 tower
Free: 1 spline, 8 tower
Update: 3 spline, 9 tower
Free: 3 spline, 9 tower
Update: 19 spline, 117 tower
Free: 8 spline, 53 tower
Update: 26 spline, 142 tower
Free: 13 spline, 71 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 38 spline, 168 tower
Free: 19 spline, 84 tower
Update: 42 spline, 168 tower
Free: 21 spline, 84 tower
Update: 28 spline, 88 tower
Free: 14 spline, 44 tower
Update: 3 spline, 10 tower
Update: 18 spline, 82 tower
Free: 9 spline, 41 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 32 spline, 73 tower
Free: 16 spline, 36 tower
Update: 24 spline, 60 tower
Free: 12 spline, 30 tower
Update: 1 spline, 5 tower
Update: 20 spline, 80 tower
Free: 10 spline, 40 tower
Update: 16 spline, 64 tower
Free: 8 spline, 32 tower
Update: 3 spline, 8 tower
Update: 64 spline, 173 tower
Free: 31 spline, 81 tower
Update: 82 spline, 254 tower
Free: 41 spline, 127 tower
Update: 41 spline, 151 tower
Free: 20 spline, 73 tower
Update: 3 spline, 8 tower
Update: 28 spline, 104 tower
Free: 13 spline, 52 tower
Update: 2 spline, 18 tower
Free: 1 spline, 9 tower
Update: 8 spline, 37 tower
Update: 28 spline, 64 tower
Free: 14 spline, 33 tower
Update: 30 spline, 87 tower
Free: 14 spline, 37 tower
Update: 21 spline, 90 tower
Free: 8 spline, 43 tower
Update: 14 spline, 52 tower
Free: 4 spline, 19 tower
Update: 6 spline, 14 tower
Update: 6 spline, 14 tower
Update: 15 spline, 78 tower
Free: 7 spline, 36 tower
Update: 9 spline, 60 tower
Free: 4 spline, 27 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 3 spline, 18 tower
Free: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 7 spline, 24 tower
Update: 38 spline, 132 tower
Free: 19 spline, 66 tower
Update: 29 spline, 84 tower
Free: 14 spline, 39 tower
Update: 8 spline, 54 tower
Free: 4 spline, 27 tower
Update: 3 spline, 10 tower
Update: 3 spline, 7 tower
Update: 6 spline, 15 tower
Free: 3 spline, 7 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 6 spline, 18 tower
Free: 3 spline, 9 tower
Update: 6 spline, 18 tower
Free: 3 spline, 9 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 2 spline, 9 tower
Update: 40 spline, 158 tower
Free: 20 spline, 79 tower
Update: 6 spline, 38 tower
Free: 3 spline, 19 tower
Update: 24 spline, 52 tower
Free: 12 spline, 26 tower
Update: 16 spline, 58 tower
Free: 8 spline, 29 tower
Update: 1 spline, 5 tower
Update: 12 spline, 66 tower
Free: 6 spline, 32 tower
Update: 32 spline, 88 tower
Free: 16 spline, 44 tower
Update: 22 spline, 59 tower
Free: 9 spline, 24 tower
Update: 42 spline, 134 tower
Free: 21 spline, 67 tower
Update: 32 spline, 86 tower
Free: 16 spline, 43 tower
Update: 4 spline, 11 tower
Update: 4 spline, 11 tower
Update: 41 spline, 133 tower
Free: 21 spline, 70 tower
Update: 12 spline, 53 tower
Update: 36 spline, 160 tower
Free: 18 spline, 80 tower
Update: 37 spline, 173 tower
Free: 18 spline, 84 tower
Update: 3 spline, 13 tower
Update: 3 spline, 13 tower
Update: 3 spline, 13 tower
Update: 3 spline, 13 tower
Update: 3 spline, 13 tower
Update: 3 spline, 13 tower
Update: 3 spline, 13 tower
