Game Turn, Player, Score, CATEGORY_CIVICS, CATEGORY_EMPIRE, CATEGORY_GREAT_PEOPLE, CATEGORY_RELIGION, CATEGORY_TECH, CATEGORY_WONDER, CATEGORY_TRADE, CATEGORY_PILLAGE, CATEGORY_INCOME, CATEGORY_SCENARIO1, CATEGORY_SCENARIO2, CATEGORY_SCENARIO3
182, 1, 506, 90, 237, 27, 0, 122, 30, 0, 0, 0, 0, 0, 0
182, 2, 476, 68, 263, 21, 8, 96, 20, 0, 0, 0, 0, 0, 0
182, 4, 488, 64, 287, 24, 0, 98, 15, 0, 0, 0, 0, 0, 0
182, 5, 522, 100, 253, 30, 8, 96, 35, 0, 0, 0, 0, 0, 0
182, 6, 554, 90, 288, 54, 8, 94, 20, 0, 0, 0, 0, 0, 0
182, 7, 392, 60, 222, 12, 8, 80, 10, 0, 0, 0, 0, 0, 0
182, 9, 174, 64, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
182, 10, 169, 60, 17, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
182, 12, 161, 52, 15, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
182, 14, 174, 68, 20, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0
182, 15, 173, 62, 21, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
182, 16, 160, 50, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
182, 20, 175, 68, 23, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0
182, 21, 178, 62, 24, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
182, 22, 173, 64, 17, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
182, 24, 171, 64, 19, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
182, 63, 166, 72, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
183, 0, 381, 70, 228, 15, 0, 68, 0, 0, 0, 0, 0, 0, 0
183, 1, 506, 90, 237, 27, 0, 122, 30, 0, 0, 0, 0, 0, 0
183, 2, 476, 68, 263, 21, 8, 96, 20, 0, 0, 0, 0, 0, 0
183, 4, 489, 64, 288, 24, 0, 98, 15, 0, 0, 0, 0, 0, 0
183, 5, 524, 102, 253, 30, 8, 96, 35, 0, 0, 0, 0, 0, 0
183, 6, 560, 90, 294, 54, 8, 94, 20, 0, 0, 0, 0, 0, 0
183, 7, 395, 62, 223, 12, 8, 80, 10, 0, 0, 0, 0, 0, 0
183, 9, 176, 64, 22, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
183, 10, 170, 60, 18, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
183, 12, 161, 52, 15, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
183, 14, 176, 68, 20, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
183, 15, 173, 62, 21, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
183, 16, 160, 50, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
183, 20, 175, 68, 23, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0
183, 21, 178, 62, 24, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
183, 22, 173, 64, 17, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
183, 24, 174, 64, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
183, 63, 168, 74, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
184, 0, 392, 72, 237, 15, 0, 68, 0, 0, 0, 0, 0, 0, 0
184, 1, 506, 90, 237, 27, 0, 122, 30, 0, 0, 0, 0, 0, 0
184, 2, 481, 70, 266, 21, 8, 96, 20, 0, 0, 0, 0, 0, 0
184, 4, 492, 64, 291, 24, 0, 98, 15, 0, 0, 0, 0, 0, 0
184, 5, 525, 102, 254, 30, 8, 96, 35, 0, 0, 0, 0, 0, 0
184, 6, 567, 90, 301, 54, 8, 94, 20, 0, 0, 0, 0, 0, 0
184, 7, 397, 62, 225, 12, 8, 80, 10, 0, 0, 0, 0, 0, 0
184, 9, 178, 64, 22, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
184, 10, 170, 60, 18, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
184, 12, 161, 52, 15, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
184, 14, 178, 68, 20, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
184, 15, 173, 62, 21, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
184, 16, 160, 50, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
184, 20, 175, 68, 23, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0
184, 21, 178, 62, 24, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
184, 22, 173, 64, 17, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
184, 24, 174, 64, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
184, 63, 172, 78, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
185, 0, 391, 72, 236, 15, 0, 68, 0, 0, 0, 0, 0, 0, 0
185, 1, 509, 92, 238, 27, 0, 122, 30, 0, 0, 0, 0, 0, 0
185, 2, 481, 70, 266, 21, 8, 96, 20, 0, 0, 0, 0, 0, 0
185, 4, 505, 66, 297, 27, 0, 100, 15, 0, 0, 0, 0, 0, 0
185, 5, 526, 102, 255, 30, 8, 96, 35, 0, 0, 0, 0, 0, 0
185, 6, 574, 92, 301, 57, 8, 96, 20, 0, 0, 0, 0, 0, 0
185, 7, 397, 62, 225, 12, 8, 80, 10, 0, 0, 0, 0, 0, 0
185, 9, 180, 64, 22, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
185, 10, 174, 62, 18, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
185, 12, 161, 52, 15, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
185, 14, 180, 68, 20, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
185, 15, 173, 62, 21, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
185, 16, 160, 50, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
185, 20, 175, 68, 23, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0
185, 21, 180, 62, 24, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
185, 22, 173, 64, 17, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0
185, 24, 176, 66, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
185, 63, 176, 78, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0
186, 0, 392, 72, 237, 15, 0, 68, 0, 0, 0, 0, 0, 0, 0
186, 1, 516, 94, 238, 30, 0, 124, 30, 0, 0, 0, 0, 0, 0
186, 2, 482, 70, 267, 21, 8, 96, 20, 0, 0, 0, 0, 0, 0
186, 4, 506, 66, 298, 27, 0, 100, 15, 0, 0, 0, 0, 0, 0
186, 5, 526, 102, 255, 30, 8, 96, 35, 0, 0, 0, 0, 0, 0
186, 6, 581, 94, 306, 57, 8, 96, 20, 0, 0, 0, 0, 0, 0
186, 7, 402, 62, 228, 12, 8, 82, 10, 0, 0, 0, 0, 0, 0
186, 9, 182, 64, 22, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0
186, 10, 176, 62, 18, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0
186, 12, 163, 52, 15, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0
186, 14, 182, 68, 20, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0
186, 15, 173, 62, 21, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0
186, 16, 160, 50, 22, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0
