Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
182, CIVILIZATION_SUMERIA, 11, 95, 61, 45, 12, 2, 2, 0, 238, 105, 549, 288, 207, 210, 559, 46, 613, 277, 238, 291, 29, 94, 37, 302
182, CIVILIZATION_NORWAY, 10, 111, 48, 34, 2, 0, 0, 0, 193, 62, 983, 178, 112, 64, 456, 29, 376, 325, 193, 190, 34, 110, 47, 88
182, CIVILIZATION_ENGLAND, 10, 117, 49, 32, 43, 26, 7, 2, 202, 83, 874, 303, 163, 81, 1021, 21, 587, 351, 202, 291, 40, 116, 100, 178
182, CIVILIZATION_FRANCE, 10, 101, 48, 50, 22, 6, 10, 14, 267, 83, 3377, 590, 120, 350, 1113, 186, 453, 318, 267, 339, 34, 100, 61, 430
182, CIVILIZATION_BRAZIL, 12, 117, 47, 45, 15, 4, 2, 9, 255, 74, 1275, 188, 117, 209, 888, 124, 507, 299, 255, 277, 37, 116, 4, 242
182, CIVILIZATION_ARABIA, 9, 87, 40, 31, 43, 26, 0, 5, 176, 79, 3988, 550, 136, 83, 1148, 146, 464, 280, 176, 395, 30, 86, 45, 166
182, CIVILIZATION_ZANZIBAR, 1, 11, 45, 32, 3, 1, 0, 1, 13, 10, 2220, 77, 9, 6, 50, 0, 14, 26, 13, 29, 2, 10, 18, 16
182, CIVILIZATION_BUENOS_AIRES, 1, 9, 46, 30, 6, 0, 0, 1, 10, 8, 195, 48, 10, 5, 19, 0, 4, 26, 10, 15, 1, 8, 0, 6
182, CIVILIZATION_NAN_MADOL, 1, 7, 47, 26, 3, 0, 0, 0, 13, 6, 46, 35, 6, 8, 16, 0, 13, 11, 13, 19, 1, 6, 7, 10
182, CIVILIZATION_PRESLAV, 1, 15, 44, 34, 10, 8, 0, 0, 14, 12, 78, 89, 8, 5, 15, 0, 4, 47, 14, 15, 0, 16, 14, 12
182, CIVILIZATION_LA_VENTA, 1, 13, 45, 31, 4, 1, 0, 0, 13, 10, 392, 1776, 10, 6, 19, 23, 8, 33, 13, 35, 1, 12, 11, 6
182, CIVILIZATION_JAKARTA, 1, 14, 44, 25, 8, 0, 0, 0, 13, 10, 431, 40, 10, 6, 24, 0, 6, 42, 13, 23, 1, 14, 0, 0
182, CIVILIZATION_VALLETTA, 1, 15, 42, 34, 3, 3, 0, 0, 13, 9, 490, 105, 8, 5, 16, 0, 2, 36, 13, 16, 1, 17, 17, 6
182, CIVILIZATION_AMSTERDAM, 1, 13, 46, 31, 4, 1, 0, 1, 13, 9, 1868, 102, 10, 6, 45, 1, 4, 39, 13, 20, 2, 13, 15, 6
182, CIVILIZATION_VILNIUS, 1, 9, 46, 32, 3, 2, 0, 0, 14, 10, 559, 18, 7, 8, 22, 0, 10, 21, 14, 19, 1, 8, 7, 6
182, CIVILIZATION_HATTUSA, 1, 11, 44, 32, 2, 0, 0, 2, 12, 8, 329, 273, 16, 6, 27, 0, 5, 24, 12, 17, 1, 11, 9, 24
183, CIVILIZATION_KONGO, 12, 93, 34, 36, 9, 1, 0, 2, 215, 28, 86, 1159, 105, 268, 368, 20, 161, 252, 215, 91, 25, 93, 127, 232
