Player,FromPlayer,Delta,New Total Weariness,Reason
1, 6, -50, 62, At War Decay
2, 6, -50, 8713, At War Decay
2, 6, 42, 8755, Attacking
6, 2, 28, 4374, Getting Attacked
5, 6, -50, 610, At War Decay
5, 6, 80, 690, Attacking
6, 5, 80, 640, Getting Attacked
6, 1, -50, 170, At War Decay
6, 2, -50, 4324, At War Decay
6, 5, -50, 590, At War Decay
6, 2, 56, 4380, Attacking
2, 6, 105, 8860, Getting Attacked
1, 6, -50, 12, At War Decay
2, 6, -50, 8810, At War Decay
2, 6, 42, 8852, Attacking
6, 2, 56, 4436, Getting Attacked
5, 6, -50, 640, At War Decay
5, 6, 80, 720, Attacking
6, 5, 80, 670, Getting Attacked
5, 6, 80, 800, Attacking
6, 5, 80, 750, Getting Attacked
6, 1, -50, 120, At War Decay
6, 2, -50, 4386, At War Decay
6, 5, -50, 700, At War Decay
1, 6, -50, 0, At War Decay
2, 6, -50, 8802, At War Decay
5, 6, -50, 750, At War Decay
5, 6, 80, 830, Attacking
6, 5, 80, 780, Getting Attacked
5, 6, 80, 910, Attacking
6, 5, 80, 860, Getting Attacked
5, 6, 80, 990, Attacking
6, 5, 200, 1060, Getting Attacked
6, 1, -50, 70, At War Decay
6, 2, -50, 4336, At War Decay
6, 5, -50, 1010, At War Decay
2, 6, -50, 8752, At War Decay
2, 6, 42, 8794, Attacking
6, 2, 28, 4364, Getting Attacked
2, 6, 42, 8836, Attacking
6, 2, 56, 4420, Getting Attacked
5, 6, -50, 940, At War Decay
6, 1, -50, 20, At War Decay
6, 2, -50, 4370, At War Decay
6, 5, -50, 960, At War Decay
2, 6, -50, 8786, At War Decay
2, 6, 42, 8828, Attacking
6, 2, 140, 4510, Getting Attacked
5, 6, -50, 890, At War Decay
5, 6, 80, 970, Attacking
6, 5, 40, 1000, Getting Attacked
5, 6, 80, 1050, Attacking
6, 5, 40, 1040, Getting Attacked
5, 6, 200, 1250, Attacking
6, 5, 40, 1080, Getting Attacked
6, 1, -50, 0, At War Decay
6, 2, -50, 4460, At War Decay
6, 5, -50, 1030, At War Decay
2, 6, -50, 8778, At War Decay
2, 6, 21, 8799, Attacking
6, 2, 140, 4600, Getting Attacked
2, 6, 42, 8841, Attacking
6, 2, 140, 4740, Getting Attacked
5, 6, -50, 1200, At War Decay
5, 6, 80, 1280, Attacking
6, 5, 40, 1070, Getting Attacked
5, 6, 80, 1360, Attacking
6, 5, 40, 1110, Getting Attacked
6, 2, -50, 4690, At War Decay
6, 5, -50, 1060, At War Decay
6, 5, -2000, 0, We Made Peace
5, 6, -2000, 0, They Made Peace
12, 6, -2000, 0, We Made Peace
6, 12, -2000, 0, They Made Peace
20, 5, -2000, 0, We Made Peace
5, 20, -2000, 0, They Made Peace
12, 20, -2000, 0, We Made Peace
20, 12, -2000, 0, They Made Peace
22, 6, -2000, 0, We Made Peace
6, 22, -2000, 0, They Made Peace
20, 22, -2000, 0, We Made Peace
22, 20, -2000, 0, They Made Peace
2, 6, -50, 8791, At War Decay
2, 6, 21, 8812, Attacking
6, 2, 140, 4830, Getting Attacked
2, 6, 42, 8854, Attacking
6, 2, 140, 4970, Getting Attacked
6, 2, -50, 4920, At War Decay
6, 2, 56, 4976, Attacking
2, 6, 84, 8938, Getting Attacked
2, 6, -50, 8888, At War Decay
20, 1, -2000, 0, We Made Peace
1, 20, -2000, 0, They Made Peace
20, 2, -2000, 0, We Made Peace
2, 20, -2000, 0, They Made Peace
2, 6, 42, 8930, Attacking
6, 2, 28, 5004, Getting Attacked
6, 2, -50, 4954, At War Decay
1, 6, -2000, 0, We Made Peace
6, 1, -2000, 0, They Made Peace
2, 6, -50, 8880, At War Decay
2, 6, 42, 8922, Attacking
6, 2, 28, 4982, Getting Attacked
6, 2, -50, 4932, At War Decay
2, 6, -50, 8872, At War Decay
2, 6, 42, 8914, Attacking
6, 2, 56, 4988, Getting Attacked
6, 2, -50, 4938, At War Decay
