Game Turn, Range, Value, Seed, Type, Location
182, 19, 2, 736555037, sync, Choosing a Citizen Name
182, 2, 1, 569066130, sync, GetNextBuyablePlot picker
182, 4, 0, 2925528163, sync, GetNextBuyablePlot picker
182, 1, 0, 130693216, sync, GetNextBuyablePlot picker
182, 1, 0, 3901190425, sync, GetNextBuyablePlot picker
182, 2, 0, 410449374, sync, GetNextBuyablePlot picker
182, 1, 0, 826573759, sync, GetNextBuyablePlot picker
182, 1, 0, 1057651340, sync, GetNextBuyablePlot picker
182, 2, 1, 1561658837, sync, GetNextBuyablePlot picker
182, 100, 75, 2709033450, sync, City Rebellion Roll
182, 1, 0, 3251084507, sync, GetNextBuyablePlot picker
182, 100, 60, 1076540280, sync, City Rebellion Roll
182, 1, 0, 2611817041, sync, GetNextBuyablePlot picker
182, 2, 0, 1464197814, sync, GetNextBuyablePlot picker
182, 1, 0, 43592631, sync, GetNextBuyablePlot picker
182, 1, 0, 219385636, sync, GetNextBuyablePlot picker
182, 1, 0, 1623792269, sync, GetNextBuyablePlot picker
182, 12, 1, 3519378498, sync, Unit Combat Damage
182, 2, 0, 663407699, sync, GetNextBuyablePlot picker
182, 1, 0, 999061904, sync, GetNextBuyablePlot picker
182, 1, 0, 3174683273, sync, GetNextBuyablePlot picker
182, 1, 0, 3468333710, sync, GetNextBuyablePlot picker
182, 1, 0, 1173084847, sync, GetNextBuyablePlot picker
182, 1, 0, 879206076, sync, GetNextBuyablePlot picker
182, 1, 0, 1675890245, sync, GetNextBuyablePlot picker
182, 1, 0, 2463189402, sync, GetNextBuyablePlot picker
182, 1, 0, 1319465675, sync, GetNextBuyablePlot picker
182, 1, 0, 963504808, sync, Random Direction
182, 15, 4, 389827009, sync, Random Direction
182, 19, 10, 1332372838, sync, Random Direction
182, 3, 2, 2383835303, sync, Random Direction
182, 19, 8, 3725265236, sync, Random Direction
182, 1, 0, 1921171709, sync, Random Direction
182, 44, 13, 422015474, sync, Random Direction
182, 15, 5, 1303343171, sync, Random Direction
182, 1, 0, 1589208768, sync, Random Direction
182, 18, 13, 180318201, sync, Random Direction
182, 23, 21, 3140926270, sync, Random Direction
182, 1, 0, 4082027935, sync, Random Direction
182, 1, 0, 53358316, sync, Random Direction
182, 12, 5, 2742948533, sync, Random Direction
182, 20, 14, 1935625546, sync, Random Direction
182, 10, 4, 3126633659, sync, Random Direction
182, 22, 20, 2001030616, sync, Random Direction
182, 4, 1, 4081722673, sync, Random Direction
182, 7, 6, 1657598998, sync, Random Direction
182, 3, 2, 3802583447, sync, Random Direction
182, 22, 4, 3333255044, sync, Random Direction
182, 11, 2, 871031661, sync, Random Direction
182, 7, 6, 1067203490, sync, Random Direction
182, 12, 4, 4043108403, sync, Random Direction
182, 4, 1, 1733558256, sync, Random Direction
182, 11, 6, 2053065065, sync, Random Direction
182, 7, 2, 2468769774, sync, Random Direction
182, 6, 2, 1569479823, sync, Random Direction
182, 6, 3, 2123442972, sync, Random Direction
182, 11, 6, 2459570981, sync, Random Promotion
